1	31,79,
2	57,53,65,
3	37,28,36,68,71,72,92,95,96,22,82,83,48,
4	88,10,19,27,55,73,78,85,89,
5	17,94,
6	60,3,4,11,16,32,52,56,59,64,70,
7	15,5,7,9,23,30,35,43,44,45,46,47,49,62,66,67,76,81,86,87,90,
8	14,18,21,33,40,50,69,74,84,91,80,42,26,100,25,
9	29,24,34,39,51,58,63,54,
10	2,61,98,1,8,99,
11	20,6,12,41,75,77,93,97,38,13,
